,precision,recall,f1-score,support
0,0.9711711711711711,0.9694244604316546,0.9702970297029704,556.0
1,0.7682926829268293,0.7777777777777778,0.773006134969325,81.0
2,0.9230769230769231,0.9230769230769231,0.9230769230769231,26.0
3,1.0,1.0,1.0,4.0
accuracy,0.9445277361319341,0.9445277361319341,0.9445277361319341,0.9445277361319341
macro avg,0.9156351942937309,0.9175697903215889,0.9165950219373047,667.0
weighted avg,0.9448319017814758,0.9445277361319341,0.9446756303558723,667.0
