,precision,recall,f1-score,support
0,0.9818181818181818,0.9712230215827338,0.9764918625678121,556.0
1,0.7857142857142857,0.8148148148148148,0.7999999999999999,81.0
2,0.8275862068965517,0.9230769230769231,0.8727272727272727,26.0
3,1.0,1.0,1.0,4.0
accuracy,0.9505247376311844,0.9505247376311844,0.9505247376311844,0.9505247376311844
macro avg,0.8987796686072548,0.9272786898686178,0.9123047838237711,667.0
weighted avg,0.9521004611890203,0.9505247376311844,0.95115499951816,667.0
