,precision,recall,f1-score,support
淡黄,0.9790209790209791,0.9621993127147767,0.9705372616984402,291.0
  白,0.8064516129032258,0.8771929824561403,0.8403361344537815,57.0
  黄,0.7692307692307693,0.8333333333333334,0.8,12.0
灰黑,1.0,0.6666666666666666,0.8,3.0
焦黄,1.0,1.0,1.0,2.0
accuracy,0.9424657534246575,0.9424657534246575,0.9424657534246575,0.9424657534246575
macro avg,0.9109406722309948,0.8678784590341835,0.8821746792304443,365.0
weighted avg,0.9454619618119396,0.9424657534246575,0.9433575419674292,365.0
