,precision,recall,f1-score,support
淡黄,0.9834862385321101,0.9640287769784173,0.9736603088101725,556.0
  白,0.7674418604651163,0.8148148148148148,0.7904191616766467,81.0
  黄,0.8387096774193549,1.0,0.9122807017543859,26.0
灰黑,1.0,1.0,1.0,4.0
焦黄,0.9887640449438202,1.0,0.9943502824858756,88.0
accuracy,0.9536423841059603,0.9536423841059603,0.9536423841059603,0.9536423841059603
macro avg,0.9156803642720803,0.9557687183586463,0.9341420909454161,755.0
weighted avg,0.9560249362774661,0.9536423841059603,0.9544386846339542,755.0
