,precision,recall,f1-score,support
0,0.8509803921568627,0.8250950570342205,0.8378378378378378,263.0
1,0.42424242424242425,0.509090909090909,0.46280991735537186,55.0
2,0.5833333333333334,0.5833333333333334,0.5833333333333334,24.0
3,0.0,0.0,0.0,2.0
4,0.0,0.0,0.0,1.0
accuracy,0.7507246376811594,0.7507246376811594,0.7507246376811594,0.7507246376811594
macro avg,0.37171122994652406,0.38350385989169256,0.3767962177053086,345.0
weighted avg,0.7569309462915601,0.7507246376811594,0.7530605704518748,345.0
