,precision,recall,f1-score,support
淡黄,0.98046875,0.8625429553264605,0.9177330895795247,291.0
  白,0.5280898876404494,0.8245614035087719,0.6438356164383561,57.0
  黄,0.6875,0.9166666666666666,0.7857142857142857,12.0
灰黑,1.0,1.0,1.0,3.0
焦黄,1.0,0.5,0.6666666666666666,2.0
accuracy,0.8575342465753425,0.8575342465753425,0.8575342465753425,0.8575342465753425
macro avg,0.8392117275280899,0.8207542051003799,0.8027899316797666,365.0
weighted avg,0.9004589858780976,0.8575342465753425,0.8699201752507747,365.0
