,precision,recall,f1-score,support
0,0.9829867674858223,0.935251798561151,0.9585253456221198,556.0
1,0.6415094339622641,0.8395061728395061,0.7272727272727271,81.0
2,0.8571428571428571,0.9230769230769231,0.888888888888889,26.0
3,1.0,1.0,1.0,4.0
accuracy,0.9235382308845578,0.9235382308845578,0.9235382308845578,0.9235382308845578
macro avg,0.8704097646477359,0.9244587236193951,0.8936717404459339,667.0
weighted avg,0.9367145744509368,0.9235382308845578,0.9279764530526246,667.0
