,precision,recall,f1-score,support
0,0.9616087751371115,0.9460431654676259,0.9537624660018132,556.0
1,0.6818181818181818,0.7407407407407407,0.710059171597633,81.0
2,0.92,0.8846153846153846,0.9019607843137256,26.0
3,0.375,0.6,0.4615384615384615,5.0
accuracy,0.9161676646706587,0.9161676646706587,0.9161676646706587,0.9161676646706587
macro avg,0.7346067392388234,0.7928498227059378,0.7568302208629083,668.0
weighted avg,0.9216717839872856,0.9161676646706587,0.9185110728986011,668.0
