,precision,recall,f1-score,support
淡黄,0.9220338983050848,0.6783042394014963,0.7816091954022989,802.0
  白,0.7141327623126338,0.898921832884097,0.7959427207637231,742.0
  黄,0.7087378640776699,0.8690476190476191,0.7807486631016042,84.0
灰黑,1.0,1.0,1.0,5.0
焦黄,0.6666666666666666,1.0,0.8,2.0
accuracy,0.7896024464831805,0.7896024464831805,0.7896024464831805,0.7896024464831805
macro avg,0.802314238272411,0.8892547382666425,0.8316601158535253,1635.0
weighted avg,0.8166513822584157,0.7896024464831805,0.7887602209295785,1635.0
