,precision,recall,f1-score,support
0,0.9781021897810219,0.9640287769784173,0.9710144927536232,556.0
1,0.735632183908046,0.7901234567901234,0.761904761904762,81.0
2,0.8214285714285714,0.8846153846153846,0.8518518518518519,26.0
3,1.0,1.0,1.0,4.0
accuracy,0.9400299850074962,0.9400299850074962,0.9400299850074962,0.9400299850074962
macro avg,0.8837907362794097,0.9096919045959813,0.8961927766275593,667.0
weighted avg,0.9426809104526879,0.9400299850074962,0.9411491631685883,667.0
