,precision,recall,f1-score,support
0,0.9747747747747748,0.9730215827338129,0.9738973897389739,556.0
1,0.7857142857142857,0.8148148148148148,0.7999999999999999,81.0
2,0.8076923076923077,0.8076923076923077,0.8076923076923077,26.0
3,0.0,0.0,0.0,5.0
accuracy,0.9401197604790419,0.9401197604790419,0.9401197604790419,0.9401197604790419
macro avg,0.642045342045342,0.6488821763102339,0.6453974243578204,668.0
weighted avg,0.9380503471820837,0.9401197604790419,0.9390523184054932,668.0
